,PIece_ID,Phrase_number,Phrase_start,Phrase_stop,Rhyme_ID,Phrase_text,piece_id,Column10,Column11,Column12
1,DC0101,1,1,7,a,Qui souhaitez avoir tout le plaisir,Qui souhaitez avoir tout le plaisir,,,
2,DC0101,2,7,13,b,Qu'un amy peult vouloir honnestement,Qui souhaitez avoir tout le plaisir,,,
3,DC0101,3,1,7,a,Prenez exemple à mon chaste desir,Qui souhaitez avoir tout le plaisir,,,
4,DC0101,4,7,14,b,Et vous mirez en mon contentement.,Qui souhaitez avoir tout le plaisir,,,
5,DC0101,5,14,17,b,Mais qui vouldroit audacieusement,Qui souhaitez avoir tout le plaisir,,,
6,DC0101,6,17,22,c,"Voler au ciel ou mon amour se tient,",Qui souhaitez avoir tout le plaisir,,,
7,DC0101,7,23,26,b,On luy diroit aymez humainement.,Qui souhaitez avoir tout le plaisir,,,
8,DC0101,8,26,34,c,C'est au soleil que la lune appartient.,Qui souhaitez avoir tout le plaisir,,,
9,DC0102,1,1,6,a,"Venons au poinct madame s'il vous plaist,","Venons au poinct, ma dame s'il vous plaist",,,
10,DC0102,2,5,10,b,Il en est temps sans plus tant marchander.,"Venons au poinct, ma dame s'il vous plaist",,,
11,DC0102,3,10,14,b,Le doy je prendre ou le vous demander?,"Venons au poinct, ma dame s'il vous plaist",,,
12,DC0102,4,14,18,a,"Dictes l'ouy, car le non me desplait.","Venons au poinct, ma dame s'il vous plaist",,,
13,DC0102,5,18,22,c,Or faictes donc s'il vous plaist mon bel amy,"Venons au poinct, ma dame s'il vous plaist",,,
14,DC0102,6,21,29,d,L'ouy valoir et le non se retire.,"Venons au poinct, ma dame s'il vous plaist",,,
15,DC0102,7,29,37,d,"Vous souffrez mal, et moy un grand martyre.","Venons au poinct, ma dame s'il vous plaist",,,
16,DC0102,8,38,43,c,C'est couardise qui nous sert d'ennemy.,"Venons au poinct, ma dame s'il vous plaist",,,
17,DC0103,1,1,4,a,"O combien je suis fortuné,",O combien je suis fortuné,,,
18,DC0103,2,4,8,b,De servir maistresse si belle.,O combien je suis fortuné,,,
19,DC0103,3,1,4,a,Pourquoy ne m'est predestiné,O combien je suis fortuné,,,
20,DC0103,4,4,8,b,Le bien que son mary a d'elle.,O combien je suis fortuné,,,
21,DC0103,5,9,12,b,Ell'est doulce et luy rebelle.,O combien je suis fortuné,,,
22,DC0103,6,12,14,c,"N'est ce pas grande cruauté,",O combien je suis fortuné,,,
23,DC0103,7,14,18,b,"Qu'elle vit en peine telle,",O combien je suis fortuné,,,
24,DC0103,8,18,27,c,Sans secourir ma loyauté?,O combien je suis fortuné,,,
25,DC0104,1,1,4,a,"Cherchant Amour, Hymen vint apparoistre","Cherchant amour, Hymen vint apparoistre",,,
26,DC0104,2,4,10,b,Devant mes yeulx avecques chasteté.,"Cherchant amour, Hymen vint apparoistre",,,
27,DC0104,3,1,4,a,"Disant amy, pour donner à cognoistre","Cherchant amour, Hymen vint apparoistre",,,
28,DC0104,4,4,10,b,De vraye amour la seure fermeté.,"Cherchant amour, Hymen vint apparoistre",,,
29,DC0104,5,11,15,b,En Cupido ne te tiens arresté.,"Cherchant amour, Hymen vint apparoistre",,,
30,DC0104,6,14,20,c,Une sans plus de loyauté munie,"Cherchant amour, Hymen vint apparoistre",,,
